State,County,Cases,County,Population,county matches county?,cases per pop
Massachusetts,Berkshire,1201,Berkshire,"124,944",TRUE,0.009612306
Massachusetts,Bristol,17337,Bristol,"565,217",TRUE,0.030673175
Massachusetts,Dukes and Nantucket,486,Dukes and Nantucket,"28,731",TRUE,0.016915527
Massachusetts,Essex,30674,Essex,"789,034",TRUE,0.038875384
Massachusetts,Franklin,571,Franklin,"70,180",TRUE,0.008136221
Massachusetts,Hampden,13929,Hampden,"466,372",TRUE,0.029866716
Massachusetts,Hampshire,2037,Hampshire,"160,830",TRUE,0.012665547
Massachusetts,Middlesex,40680,Middlesex,"1,611,699",TRUE,0.025240445
Massachusetts,Norfolk,14569,Norfolk,"706,775",TRUE,0.020613349
Massachusetts,Plymouth,13505,Plymouth,"521,202",TRUE,0.025911259
Massachusetts,Suffolk,34270,Suffolk,"803,907",TRUE,0.042629309
Massachusetts,Worcester,22038,Worcester,"830,622",TRUE,0.026531924
Michigan,Alcona,124,Alcona,"10,405",TRUE,0.011917347
Michigan,Alger,200,Alger,"9,108",TRUE,0.021958718
Michigan,Allegan,3212,Allegan,"118,081",TRUE,0.027201667
Michigan,Alpena,432,Alpena,"28,405",TRUE,0.01520859
Michigan,Antrim,313,Antrim,"23,324",TRUE,0.013419654
Michigan,Arenac,297,Arenac,"14,883",TRUE,0.019955654
Michigan,Baraga,385,Baraga,"8,209",TRUE,0.046899744
Michigan,Barry,1652,Barry,"61,550",TRUE,0.026839968
Michigan,Bay,3500,Bay,"103,126",TRUE,0.033939065
Michigan,Benzie,275,Benzie,"17,766",TRUE,0.015479005
Michigan,Berrien,5336,Berrien,"153,401",TRUE,0.034784649
Michigan,Branch,1898,Branch,"43,517",TRUE,0.043615139
Michigan,Calhoun,5263,Calhoun,"134,159",TRUE,0.039229571
Michigan,Cass,1865,Cass,"51,787",TRUE,0.036012899
Michigan,Charlevoix,443,Charlevoix,"26,143",TRUE,0.016945263
Michigan,Cheboygan,384,Cheboygan,"25,276",TRUE,0.015192277
Michigan,Chippewa,637,Chippewa,"37,349",TRUE,0.017055343
Michigan,Clare,610,Clare,"30,950",TRUE,0.019709208
Michigan,Clinton,2341,Clinton,"79,595",TRUE,0.029411395
Michigan,Crawford,275,Crawford,"14,029",TRUE,0.019602252
Michigan,Delta,2261,Delta,"35,784",TRUE,0.063184664
Michigan,Dickinson,1475,Dickinson,"25,239",TRUE,0.058441301
Michigan,Eaton,2510,Eaton,"110,268",TRUE,0.022762724
Michigan,Emmet,823,Emmet,"33,415",TRUE,0.024629657
Michigan,Genesee,12199,Genesee,"405,813",TRUE,0.030060644
Michigan,Gladwin,626,Gladwin,"25,449",TRUE,0.024598216
Michigan,Gogebic,689,Gogebic,"13,975",TRUE,0.049302326
Michigan,Grand Traverse,1517,Grand Traverse,"93,088",TRUE,0.016296408
Michigan,Gratiot,1595,Gratiot,"40,711",TRUE,0.0391786
