State,County,Cases,Population,per_gop,per_dem,cases_per_pop
Idaho,Washington,659,"10,194",0.721750314,0.256295986,0.06464587
Iowa,Mitchell,684,"10,586",0.686770015,0.297727755,0.064613641
Mississippi,Grenada,1340,"20,758",0.62375606,0.365654504,0.064553425
Minnesota,Clay,4144,"64,222",0.466583889,0.507372342,0.064526175
Wisconsin,Juneau,1721,"26,687",0.638519924,0.346445774,0.064488328
Minnesota,Polk,2021,"31,364",0.632629485,0.348822284,0.064436934
Illinois,Adams,4216,"65,435",0.542709998,0.447877819,0.064430351
Wisconsin,Lincoln,1776,"27,593",0.605952453,0.378682475,0.06436415
Wisconsin,Grant,3310,"51,439",0.55088853,0.431143859,0.064348063
Illinois,Fayette,1371,"21,336",0.727860185,0.248347775,0.064257593
Illinois,Union,1069,"16,653",0.655027359,0.32618528,0.064192638
Iowa,Cherokee,721,"11,235",0.650870553,0.337623013,0.064174455
Nebraska,Buffalo,3185,"49,659",0.701755133,0.268041237,0.064137417
Georgia,Early,652,"10,190",0.524498457,0.470100309,0.063984298
Nebraska,York,875,"13,679",0.74707293,0.228382,0.063966664
Illinois,Boone,3425,"53,544",0.764962346,0.19223147,0.063966084
Kansas,Gray,383,"5,988",0.855095541,0.121019108,0.063961256
California,Kings,9775,"152,940",0.552497913,0.42277334,0.063913953
Mississippi,Humphreys,515,"8,064",0.267771374,0.719020173,0.063864087
Iowa,Guthrie,682,"10,689",0.581963363,0.333724753,0.063803911
Kansas,Wyandotte,10535,"165,429",0.82991102,0.158681269,0.063682909
Mississippi,Claiborne,572,"8,988",0.165973666,0.80977131,0.063640409
North Dakota,Sargent,248,"3,898",0.555987895,0.35105923,0.06362237
South Dakota,Yankton,1450,"22,814",0.603761468,0.368440367,0.063557465
Iowa,Story,6170,"97,117",0.587667739,0.396251525,0.063531617
Georgia,Jefferson,975,"15,362",0.462232096,0.530710925,0.063468298
Missouri,Pemiscot,1003,"15,805",0.718700891,0.271695478,0.06346093
Arkansas,Crittenden,3043,"47,955",0.450329479,0.517530772,0.063455323
Utah,San Juan,970,"15,308",0.502384131,0.46748045,0.06336556
Kansas,Brown,606,"9,564",0.696487823,0.28181932,0.06336261
Missouri,Saline,1442,"22,761",0.576991111,0.402142455,0.063353983
Texas,Nueces,22942,"362,294",0.507678133,0.478398853,0.063324262
Kansas,Rawlins,160,"2,530",0.659054074,0.315419184,0.063241107
Texas,Karnes,986,"15,601",0.757123733,0.233314209,0.063201077
Michigan,Delta,2261,"35,784",0.624279096,0.359506476,0.063184664
Iowa,Clinton,2927,"46,429",0.679578947,0.310315789,0.063042495
Alabama,DeKalb,4506,"71,513",0.843871496,0.14565855,0.063009523
Minnesota,Todd,1554,"24,664",0.736893791,0.248224807,0.063006812
